regime,bin_left,bin_right,bin_center,count
3,-0.09356958458193673,-0.08510535324121693,-0.08933746891157683,0
3,-0.08510535324121693,-0.07664112190049713,-0.08087323757085703,0
3,-0.07664112190049713,-0.06817689055977733,-0.07240900623013723,0
3,-0.06817689055977733,-0.05971265921905752,-0.06394477488941742,0
3,-0.05971265921905752,-0.05124842787833772,-0.05548054354869762,0
3,-0.05124842787833772,-0.04278419653761792,-0.04701631220797782,0
3,-0.04278419653761792,-0.03431996519689812,-0.03855208086725802,1
3,-0.03431996519689812,-0.025855733856178342,-0.03008784952653823,14
3,-0.025855733856178342,-0.01739150251545854,-0.02162361818581844,143
3,-0.01739150251545854,-0.008927271174738738,-0.013159386845098639,974
3,-0.008927271174738738,-0.00046303983401893567,-0.004695155504378837,3197
3,-0.00046303983401893567,0.008001191506700867,0.0037690758363409654,3775
3,0.008001191506700867,0.01646542284742067,0.012233307177060768,1343
3,0.01646542284742067,0.02492965418814047,0.02069753851778057,226
3,0.02492965418814047,0.0333938855288603,0.029161769858500386,19
3,0.0333938855288603,0.041858116869580075,0.03762600119922019,2
3,0.041858116869580075,0.05032234821029985,0.04609023253993996,0
3,0.05032234821029985,0.05878657955101968,0.054554463880659765,0
3,0.05878657955101968,0.06725081089173945,0.06301869522137957,0
3,0.06725081089173945,0.07571504223245928,0.07148292656209937,0
3,0.07571504223245928,0.08417927357317906,0.07994715790281917,0
3,0.08417927357317906,0.09264350491389889,0.08841138924353897,0
3,0.09264350491389889,0.10110773625461866,0.09687562058425878,0
3,0.10110773625461866,0.10957196759533848,0.10533985192497858,0
