regime,bin_left,bin_right,bin_center,count
0,-0.22899728603345354,-0.22053305469273374,-0.22476517036309362,1
0,-0.22053305469273374,-0.21206882335201394,-0.21630093902237385,0
0,-0.21206882335201394,-0.20360459201129413,-0.20783670768165402,0
0,-0.20360459201129413,-0.19514036067057433,-0.19937247634093425,0
0,-0.19514036067057433,-0.18667612932985453,-0.19090824500021442,0
0,-0.18667612932985453,-0.17821189798913473,-0.18244401365949464,0
0,-0.17821189798913473,-0.16974766664841495,-0.17397978231877484,0
0,-0.16974766664841495,-0.16128343530769512,-0.16551555097805504,0
0,-0.16128343530769512,-0.15281920396697535,-0.15705131963733523,0
0,-0.15281920396697535,-0.14435497262625552,-0.14858708829661543,0
0,-0.14435497262625552,-0.13589074128553574,-0.14012285695589563,0
0,-0.13589074128553574,-0.12742650994481594,-0.13165862561517583,0
0,-0.12742650994481594,-0.11896227860409614,-0.12319439427445604,0
0,-0.11896227860409614,-0.11049804726337634,-0.11473016293373624,0
0,-0.11049804726337634,-0.10203381592265653,-0.10626593159301644,0
0,-0.10203381592265653,-0.09356958458193673,-0.09780170025229663,0
0,-0.09356958458193673,-0.08510535324121693,-0.08933746891157683,0
0,-0.08510535324121693,-0.07664112190049713,-0.08087323757085703,0
0,-0.07664112190049713,-0.06817689055977733,-0.07240900623013723,0
0,-0.06817689055977733,-0.05971265921905752,-0.06394477488941742,0
0,-0.05971265921905752,-0.05124842787833772,-0.05548054354869762,0
0,-0.05124842787833772,-0.04278419653761792,-0.04701631220797782,0
0,-0.04278419653761792,-0.03431996519689812,-0.03855208086725802,0
0,-0.03431996519689812,-0.025855733856178342,-0.03008784952653823,0
0,-0.025855733856178342,-0.01739150251545854,-0.02162361818581844,0
0,-0.01739150251545854,-0.008927271174738738,-0.013159386845098639,0
0,-0.008927271174738738,-0.00046303983401893567,-0.004695155504378837,0
0,-0.00046303983401893567,0.008001191506700867,0.0037690758363409654,0
0,0.008001191506700867,0.01646542284742067,0.012233307177060768,0
0,0.01646542284742067,0.02492965418814047,0.02069753851778057,0
0,0.02492965418814047,0.0333938855288603,0.029161769858500386,0
